,Score,Smiles
77,0,OCc1cc(Br)c2cc1/C=C\c1cc(c(CO)cc1Br)/C=C\c1cc(c(Br)cc1CO)/C=C\2
78,0,N/C=C\C(O)=C\N
79,0,[H]/N=C(/Br)c1ccc(-c2ccc(/C(Br)=N\[H])cc2)cc1
80,1,O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1
81,1,Nc1ccc(/C=C/c2ccc(N)cc2)cc1
82,0,[H]/N=C1\C=C(F)C(=O)C(F)=C1O
83,0,ClC1=C(Cl)CCCC1
84,0,Cc1ccc(C(N)=NN=C(N)c2ccc(C)cc2)cc1
85,0,Clc1ccc(-c2c(I)c3sc4ccccc4n3c2I)cc1
86,0,CC1(C)C=C[C@@H](O)[C@]2(C)[C@@H](F)C(F)=CC[C@H]12
87,0,C[C@@H]1OC(=O)[C@H](n2c(C=O)ccc2C=O)[C@@H]1C
88,0,O=C(O)C(=S)NCCNC(=S)C(=O)O
89,0,O=C1O[C@H](CBr)[C@@H](Br)[C@@H]1Br
90,0,[H]/N=C(/F)SS/C(F)=N\[H]
91,0,Cl[C@@H]1/C=C\C=C/[C@@H](Cl)C/C=C\1
92,1,Nc1ccc(C#Cc2ccc(C(c3ccc(C#Cc4ccc(N)cc4)cc3)c3ccc(C#Cc4ccc(N)cc4)cc3)cc2)cc1
93,0,CC(C)(C)c1cc(Cl)c(Cl)o1
94,0,O=c1nc(O)ccn1[C@@H]1C[C@@H](Cl)[C@@H](CCl)O1
95,0,CC(C)(CCO)C(C)(C)CCO
96,0,CS/C(F)=C(C#N)/C(C#N)=C(/F)SC
97,0,Brc1cc(Br)c2ccc3cccc4ccc1n4-n32
98,0,I[C@]12C[C@H]3C[C@H](C[C@](I)(C3)C1)C2
99,0,CC1=C/C(=C2/C=C(C)C(=O)C(I)=C2)C=C(I)C1=O
100,0,Brc1c2cccccc2n2c(Br)c(-c3ccccc3)nc12
101,0,O=CC(S)=Nc1ccc(N=C(S)C=O)cc1
102,0,ON=C1C(Cl)=NC(=S)N=C1Cl
103,0,Cl[C@H]1COCCOCCOCCOCCOC[C@@H]1Cl
104,1,N[C@H]1CCC[C@H](N)C1
105,0,N=C(N)N(C(=N)S)c1ccccc1
106,0,Oc1c(F)cc(F)c(O)c1Br
107,0,CC1(C)C[C@H]2C[C@@H](F)[C@@]3(F)C[C@@]3(C)[C@@H]2C1
108,0,O=C(O)C[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1
109,0,O=Cc1cc(Cl)c(C=O)c(Cl)c1Cl
110,0,O=C1c2ccccc2C(=O)c2c1c1oc(Br)cc1c1cc(Br)oc21
111,0,N[C@H]1[C@@H](N)[C@H]2[C@H]([C@@H]3OO[C@H]2O3)[C@H]1N
112,0,Cc1ccc(C)c2cc(I)c(I)cc12
113,0,COc1cccc([C@H](CC(=O)O)C(=O)O)c1
114,0,FC1=C(F)[C@H]2C=C[C@@H]1CC2
115,0,SC[C@@H](I)[C@H](I)CS
116,1,Brc1c2ccccc2c(Br)c2ccccc12
117,0,Br/C=C\c1ccc(Br)s1
118,0,BrC[C@H]1C[C@H]2C[C@H](CBr)[C@@H]1C2
119,0,I[C@H]1CO[C@H]2[C@H](I)CO[C@@H]12
120,0,CC(/C=N/NC(=N)F)=N\NC(=N)F
121,0,Cc1c(C)c(CCl)c(C)c(C)c1CCl
122,0,ICc1cccc2cc3cccc(CI)c3cc12
123,0,O=C(O)c1cccc2c1[C@H]1c3ccccc3[C@@H]2c2c(C(=O)O)cccc21
124,0,Cc1cc(N)oc1N
125,0,CC1(C)C[C@@H](C=O)C[C@](C)(CC=O)C1
126,0,C[C@@](I)(c1ccccc1)[C@](C)(I)c1ccccc1
127,0,Fc1ccc(C(CCl)CCl)cc1
128,0,Cc1cc(Br)c(S(=O)(=O)C(C)(C)C)c(Br)c1
129,0,O=CCCN=C(O)CC=O
130,0,N#CC1=C(N)SC(N)=C(C#N)C1c1ccco1
131,0,O=C[C@]12C[C@H]3C[C@H](C[C@](C=O)(C3)C1)C2
132,0,[H]/N=C(/Cl)c1ccc(-c2cc3cc(/C(Cl)=N\[H])ccc3s2)cc1
133,0,C[C@@H]1CC[C@@H](F)[C@H]1CF
134,0,ClC1=C(Cl)c2cc(Cl)ccc2Cc2ccccc21
135,0,O=C(O)C=C1SC(C(=O)O)=C(C(=O)O)S1
136,0,O=C(O)N1C=C([C@@H]2CCCN2C(=O)O)CCC1
137,0,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](I)C[C@H]2I)[C@@H](I)[C@H](O)[C@H]1O
138,0,CC(=O)SC1CN(C(=O)O)N(C(=O)O)C1
139,0,N=C(N)c1ccc2nc(N3C(=O)C[C@H](N)c4ccccc43)[nH]c2c1
140,0,NC[C@H]1C[C@H]2C[C@H](CN)[C@@H]1C2
141,0,Oc1cc(Br)c(Br)cc1O
142,0,CC(C)(C)c1ccc(N2C(C(=O)O)=NC(C(=O)O)=NC2(C)C)cc1
143,0,OC[C@H]1CC[C@@H]([C@H]2CC[C@H](CO)CC2)CC1
144,0,[H]/N=C(/C=O)c1ccc(-c2cc3cc(/C(C=O)=N\[H])ccc3[nH]2)cc1
145,0,COc1c(N)c2c3c(c1N)O[C@@]1(C[C@H]3CC(C)(C)O2)[C@H]2CC[C@H](C2)C1(C)C
146,0,C[C@@H]1CC[C@@H](C=O)[C@H]1C=O
147,0,O=C(O)[C@@]12C[C@H]3C[C@@H](C1)C[C@]([C@@]14C[C@@H]5C[C@@H](C[C@@](C(=O)O)(C5)C1)C4)(C3)C2
148,0,CC(C)(C)Oc1cc(Cl)sc1Cl
149,0,Cc1ccc2cc(-c3ccccc3Br)c(Br)c3c2c1CC3
150,0,Fc1c(Br)cc(Br)c(F)c1Br
151,0,Oc1cc(Cl)c(Br)c(O)c1Br
152,0,CC(CCl)CCl
153,0,I[C@H]1C[C@H]2C[C@@H](I)C[C@H]2C1
154,0,O=C(O)c1ccccc1-c1cc2c(ccc3ccccc32)nc1C(=O)O
155,0,Cl[C@]12CCC[C@](Cl)(C1)C2
156,0,Ic1ccc2[nH]c3c4[nH]c5ccc(I)cc5c4c4c5cc(I)ccc5[nH]c4c3c2c1
157,0,OCCCc1ccccc1CCO
158,0,CC[C@]12CCCn3c(Br)c(Br)c(c31)-c1ccccc1N=C(O)CC2
159,1,O=C(O)[C@H]1C[C@@H](C(=O)O)C[C@@H](C(=O)O)C1
160,0,CC1(C)N=C(CO)N=C(CO)N1OCc1ccc(Cl)cc1
161,0,Clc1ccc2c(c1)C(I)=C(I)c1ccccc1C2
162,0,O=C(O)C[C@H]1CC(=O)[C@@H]2[C@@H]3CCCC[C@H]3C(=O)C[C@@]2(C(=O)O)C1
163,0,C/C(CO)=C(/C#N)C(=S)CO
164,0,Fc1ccc2nc3cc(F)c4cc5cc(F)ccc5nc4c3cc2c1
165,0,NC1=CC(N)=C(C2C=CC=CC=C2)/C1=C/O
166,0,C/C(CO)=C(\C#N)C(=S)CO
167,0,N=C(CC(=N)NO)NO
168,0,Nc1c(N)n(-c2ccccc2)c2ccccc12
169,0,COC(=O)[C@@H](I)CI
170,0,NC1=CC(F)(F)[C@@](F)(Br)C(OCCCl)=C1N
171,0,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O
172,0,CC(=O)SC1CN(F)N(F)C1
173,0,CC(CBr)(CBr)c1ccccn1
174,0,I[C@H]1COC[C@H]1I
175,0,C[C@H](Br)C[C@H](C)Br
176,0,NC[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)[C@H]2N
177,0,OC[C@]12O[C@@]1(CO)[C@@H]1C[C@H]2c2ccccc21
178,0,O=C[C@]1(Cl)[C@H]2CC=CC[C@H]2[C@@](Cl)(C=O)[C@@H]2CC=CC[C@H]21
179,0,O=Cc1c(C(=O)N=CO)ccc2c1Oc1ccccc1O2
180,0,CC[C@@](C)(Br)CBr
181,0,CC1(C)N=C(CO)N=C(CO)N1c1cccc(-c2ccccc2)c1
182,1,NCC1(CN)CCOCC1
183,0,IC[C@H]1CC[C@H](CI)CC1
184,0,Cc1ncc(CCO)c(CCO)c1Cl
185,0,C/C(Cl)=C(\C)C#CC#C/C(C)=C(/C)Cl
186,1,O=Cc1cccc2c1Oc1c(C=O)cccc1O2
187,0,O=C(O)[C@]12CC[C@](C(=O)O)(c3ccccc31)c1ccccc12
188,0,OB(O)c1cc(Br)cc(Br)c1
189,0,Cc1sc(F)cc1F
190,0,N=C(Br)NN=C1C=CC(=NNC(=N)Br)C=C1
191,1,O=Cc1cccc(C#Cc2ccc(C#Cc3ccccc3C=O)cc2C=O)c1
192,0,C[C@]12C=C(C=O)[C@@](O)(C=O)C[C@H]1CCCC2
193,0,O=C[C@]12CCCC[C@@]1(C=O)CCCC2
194,0,[H]/N=C(/Br)SCCCBr
195,0,BrCCCC1(Br)CCCCC1
196,1,O=C(O)c1ccc(N2CN(c3ccc(C(=O)O)cc3)CN(c3ccc(C(=O)O)cc3)C2)cc1
197,0,Fc1c[nH]c(F)c1Cl
198,0,CC(=O)O/N=C(C=O)/C(C=O)=N\OC(C)=O
199,0,O=C(O)N1CCN(C(=O)O)c2ccccc2NC(S)=NCCCCN=C(S)Nc2ccccc21
200,0,O=P(CBr)(CBr)CBr
201,0,CC(O)=NCc1ccc(N2C(=N)NC(=N)NC2(C)C)cc1
202,0,Fc1cc2c(cc1F)C1c3cc(F)c(F)cc3C2c2cc(F)c(F)cc21
203,0,FC(=S)C(C(F)=S)c1ccccc1
204,0,OCC(=S)CCC(=S)CO
205,0,ClC1=CC=CC2=CC=CC(Cl)=C1C2
206,0,C[C@H](C=O)C(O)=N[C@@H]1CCCC[C@H]1N=C(O)[C@H](C)C=O
207,0,CS/C(N)=C(C#N)/C(C#N)=C(/N)SC
208,0,Clc1cccc2c1Oc1c(Cl)cccc1N2
209,0,NC[C@]12CC[C@](CN)(CC1)CC2
210,0,O=C(I)/C=C/I
211,0,CC1=C(I)[C@H]([C@@H](C)I)CC1
212,0,C[C@H](C(=O)O)C(O)=N[C@@H]1CCCC[C@H]1N=C(O)[C@H](C)C(=O)O
213,0,ClC[C@H]1CC[C@@H](CCl)CC1
214,0,FC(F)(F)c1cc2c(Br)cnc3c(Br)sc(n1)-n-2-3
215,0,O=C[C@H]1C[C@@H]2CC[C@@]3(C(=O)CC[C@@H]13)[C@@H]2C=O
216,0,CC(=O)Oc1c(C(=O)O)cc(C)cc1C(=O)O
217,0,CC1(C)CCC[C@]2(C)[C@H]1CC[C@]1(C=O)C(=O)CC(C=O)=CC[C@H]12
218,0,CCc1cc(F)c(F)cc1O
219,0,ClN1CN(Cl)CN(Cl)C1
220,0,O/N=C(\F)CC/C(F)=N\O
221,0,CCON1C(CO)=NC(CO)=NC1(C)C
222,0,C[C@H](N)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](N)CC[C@]4(C)[C@H]3CC[C@]12C
223,0,Ic1c(I)c2ccccc2c2ccccc12
224,0,O/N=C(/F)C[C@H](F)c1ccccc1
225,0,Cc1c(F)c(C)c(F)c(C)c1F
226,0,Cc1ccc(C)c2c1C[C@@H](OCl)[C@H]1[C@@H]2[C@]2(O)OC[C@@]1(Cl)[C@@H](C)[C@@H]2O
227,1,Clc1ccc(C#Cc2cc(C#Cc3ccc(Cl)cc3)cc(C#Cc3ccc(Cl)cc3)c2)cc1
228,1,Brc1cccc(Br)c1
229,0,O=C1O[C@@H](CF)C[C@H]1F
230,1,NCCCCCCN
231,0,OC/C=C/c1cccc2c1-c1c(CO)cccc1-2
232,0,C[C@@H]1C[C@H]2C[C@@H](C)[C@](C)(I)[C@H]3CC[C@H]4[C@@H]([C@H]1CC[C@@]4(C)I)[C@@H]23
233,0,ICCNCCI
234,0,Cl[C@]12CC[C@](Cl)(C1)C2
235,0,OC[C@@H](Cl)CCl
236,0,C/C(Cl)=C/[C@H]1[C@@H](Cl)C1(C)C
237,0,Br[C@]12CNCCNC[C@](Br)(CNCCNC1)CNCCNC2
238,0,N[C@@H]1CCC[C@H]2[C@H](N)CCC[C@@H]12
239,0,BrC[C@H](Br)c1ccccc1
240,1,N#C/C1=C/c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc1c2
241,1,N#C/C1=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc(c2)/C(C#N)=C\c2cc(N)cc1c2
242,0,[H]/N=C(\I)c1cccc2c1CC/C2=N/NC(=N)I
243,0,Cl[C@H]1C[C@H]1[C@H]1C[C@@H]1Cl
244,0,[H]/N=C(\I)c1cccc2c1CC/C2=N\NC(=N)I
245,0,CC/C(I)=C/I
246,1,Nc1ccc(B2OB(c3ccc(N)cc3)OB(c3ccc(N)cc3)O2)cc1
247,0,NO[C@@H]1Oc2ccccc2C(=O)N1N
248,1,O=C(O)c1ccc(N2COc3c(c4c(c5c3CN(c3ccc(C(=O)O)cc3)CO5)CN(c3ccc(C(=O)O)cc3)CO4)C2)cc1
249,0,N=C(N)c1cccc(-c2cccc(C(=N)N)n2)n1
250,0,O=C(O)OC(=O)OC(=O)O
251,0,O=C[C@H](c1ccc(C(F)(F)F)cc1)[C@H](C=O)c1ccc(C(F)(F)F)cc1
252,0,O=c1nc(O)ccn1[C@H]1C[C@@H](Br)[C@H](CBr)O1
253,1,O=Cc1ccc(-c2cccc3cccc(-c4ccc(C=O)cc4)c23)cc1
254,0,Nc1cc(N)c(N2CCCCC2)o1
255,0,O=CCCCCCC=O
256,0,O=CC1=NC2(CCCCC2)N(OCc2ccccc2)C(C=O)=N1
257,0,CN1C(Cl)=C(I)C(C)(C)C(I)=C1Cl
258,0,C=C1COC(=O)c2c(C(=O)O)cc3ccccc3c2-c2c(c(C(=O)O)cc3ccccc23)C(=O)OC1
259,0,FCc1ccc(-c2ccc(CF)cc2)cc1
260,0,Brc1ccc(C=c2c3ccc4c(=Cc5ccc(Br)cc5)c5ccc6c(=Cc7ccc(Br)cc7)c7ccc2c2c3c4c5c6c72)cc1
261,0,CC1(C)C[C@@H](C(=O)O)C[C@](C)(CC(=O)O)C1
262,0,O=C1c2ccccc2C(=O)c2c1c(Cl)cc(Cl)c2-c1c(Cl)cc(Cl)c2c1C(=O)c1ccccc1C2=O
263,0,OCC1C2C3CC4C2C(CO)C2C5CC(C12)C1C3C4C51
264,0,I[C@]12CCC[C@@]1(I)CC2
265,0,Nc1ccc(-c2ccc(N)s2)[nH]1
266,0,O=Cc1cc(C=O)c(Cl)s1
267,0,C=C(Cl)[C@@H]1CC[C@@]2(C)CCC=C(Cl)[C@H]2C1
268,0,NC(C=O)=NC(=S)C=O
269,0,Br[C@H]1CO[C@H](Br)O1
270,0,FN1CCc2c([nH]c3ccc(Br)cc23)[C@@H]1[C@H]1CCCN1F
271,0,NC1=C[C@@H]2C=C(N)[C@@H]3C=C[C@H]1[C@H]23
272,0,N#CC1=C(CO)SC(CO)=C(C#N)C1c1ccccc1Cl
273,0,C#C[C@@H](F)CC[C@@H](C)F
274,0,Oc1c(I)c2c(c3ccccc13)O[C@@H](CI)C2
275,0,N[C@H]1Nc2cncnc2N[C@@H]1N
276,0,CC1(C)N=C(Cl)N=C(Cl)N1OCc1ccc(Br)cc1
277,0,O=S(=O)(O)c1ccc(NN=C2C(F)=NN=C2F)c2ccccc12
278,0,SC[C@H](Cl)[C@H](Cl)CS
279,0,CCOC(=O)[C@@H](N)C(=N)N
280,0,ClN=C1NN(Cl)C2(CCCCC2)S1
281,0,N=C1N=NC(N)=C1NNc1cccc(C(F)(F)F)c1
282,1,Nc1cc(-c2cc(N)c3ccccc3n2)nc2ccccc12
283,0,C/C(C#C/C(C)=C(/C)C(=O)O)=C(\C)C(=O)O
284,0,C=C1C[C@H](Br)C(Br)=C2CC(C)(C)C[C@H]2[C@@H]1OC(C)=O
285,0,C/C(C#C/C(C)=C(\C)C(=O)O)=C(\C)C(=O)O
286,0,O=CN1c2ccccc2N(C=O)c2nc3ccccc3nc21
287,0,CC1(C)/C=C\C/C(Br)=C\CC/C(Br)=C\C1
288,0,N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1N
289,0,Cc1cccc(I)c1-c1cc2ccccc2cc1I
290,1,O=C(O)c1ccc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc1
291,0,O=CCC(O)CC=O
292,1,Clc1ccc(N(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1
293,1,O=Cc1cc(C=O)c(O)c(C=O)c1O
294,0,CC1(C)O[C@@H]2[C@@H](N)CSC[C@H](N)[C@H]2O1
295,0,[H]/N=C(\C(=O)O)N(C(=S)C(=O)O)c1ccccc1
296,0,O=C/C=C(O)/C=C/C=O
297,0,OCc1cc(CO)c(F)c(CO)c1F
298,0,ICc1ccc(CI)o1
299,0,CC1(C)C(C(=O)O)=N/C(=N/N=C2/N=C(C(=O)O)C(C)(C)N2O)N1O
300,0,Ic1ccccc1SSc1ccccc1I
301,0,Fc1ccc(F)c(F)c1
302,0,O=Cc1cc(C=O)c2ccccc2c1Cl
303,0,COC(=O)[C@@H](F)CCF
304,0,Clc1ccc2c(c1)[C@@H](Cl)c1ccccc1[C@@H]2Cl
305,0,COc1c(C)c(O)c(Cl)c(Cl)c1O
306,0,BrC1=C[C@H]2[C@H]3C=C[C@@H]1C(Br)=C[C@@H]23
307,0,Clc1ccccc1-c1c(Cl)c2ccccc2c2ccccc12
308,0,COC(=O)[C@@]12C[C@]1(C(=O)O)C(C(=O)O)=C[C@H]1CC(C)(C)C[C@H]12
309,0,N=C(N)c1ccc(CN)cc1
310,0,C[C@@H](CCO)[C@H](C)CCO
311,0,CN(C)c1cc(Cl)c(F)cc1F
312,0,O=CN1[C@@H](O)[C@H](O)N(C=O)[C@H](O)[C@@H]1O
313,0,C[C@@H](N)O[C@H](C)N
314,0,COc1cc(NNC2=C(N)N=NC2=N)cc(C(F)(F)F)c1
315,0,CC[C@]1(C)NC(=N)NC(=N)N1c1ccc(Cl)cc1
316,0,N#CC1=C(Br)SC(Br)=C(C#N)C1
317,1,OCCCCCCO
318,1,CC(C)(N)[C@@H](N)c1ccccc1
319,0,O=C(O)[C@H]1CC[C@@H](CC2CCCCC2)[C@H](C(=O)O)C1
320,0,Clc1c2c(cc3c1CC1(C3)Cc3cc4c(c(Cl)c3C1)CCCC4)CCCC2
321,0,COc1ccc(NN=C2C(I)=NN=C2I)cc1
322,0,N=C(N)N[C@@H]1[C@H](O)[C@@H](NC(=N)N)[C@@H](O)[C@@H](O)[C@@H]1O
323,0,CCC1(CC)C(F)=NC(=O)N=C1F
324,1,Nc1ccc2c(c1)[nH]c1c3[nH]c4cc(N)ccc4c3c3c4ccc(N)cc4[nH]c3c21
325,0,CN1C=C[C@H](c2c(C=O)n(C)c3ccccc23)C(C=O)=C1
326,0,FC[C@H]1CC[C@@H](F)CC1
327,0,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H](Br)C(Br)=CC[C@H]21
328,0,C[C@H]1N=C(Br)N=C(Br)N1c1cccc(Cl)c1
329,0,C[C@H]1CC[C@@]2(CC1)N=C(CO)N=C(CO)N2c1ccc(Cl)cc1
330,0,N[C@H]1[C@H](c2ccccc2)[C@H](N)[C@@H]1c1ccccc1
331,0,CC(=O)Oc1c(Br)c(Br)c(Br)c(Br)c1Br
332,0,Clc1ccc2ccc3c(Cl)ccc4ccc1c2c43
333,1,Fc1ccc(-c2c3nc(c(-c4ccc(F)cc4)c4ccc([nH]4)c(-c4ccc(F)cc4)c4nc(c(-c5ccc(F)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1
334,0,C[C@]1(F)C[C@@](C)(F)C[C@@](C)(F)C1
335,0,I[C@H]1CCC[C@H]2[C@@H]1CCC[C@H]2I
336,0,CC1(C)[C@]2(C)N=N[C@@]1(C)[C@@H](F)[C@H]2F
337,0,Ic1ccc2c(c1)C1(CC2)CCc2ccc(I)cc21
338,1,COc1cc(C=O)c(OC)cc1C=O
339,1,NC1=C(N)C(=O)c2ccccc2C1=O
340,0,CCc1cccc2c(C(=O)O)c(C(=O)O)oc12
341,0,OC[C@H]1O[C@H](O[C@H]2[C@H](Br)C[C@H](Br)[C@@H](O)[C@H]2O)[C@H](Br)[C@@H](O)[C@@H]1O
342,0,Ic1cc2c(cc1I)CCC2
343,0,Br[C@@H]1CCCCC[C@H]1Br
344,0,N#C/C(C=O)=C(C#N)\N=C/C=O
345,0,BrC[C@H](Br)Cc1ccccc1
346,0,Cc1cc(N(C)C)c(Cl)cc1Cl
347,0,Fc1c(I)cc(I)c(F)c1I
348,0,O=CN1CCCN(C=O)CCN(C=O)CCCNCC1
349,1,Brc1ccc2ccc3ccc(Br)cc3c2c1
350,0,C=C(Cl)[C@H]1CC[C@H](C)[C@@H]1Cl
351,0,C[C@](F)(CF)Cc1ccccc1
352,0,OCN1C2=CCCC[C@@]2(CO)c2cc(Cl)ccc21
353,0,ICc1cccc(-c2cccc(CI)c2)c1
354,1,CCC(c1ccc(-c2ccc(CO)cc2)cc1)(c1ccc(-c2ccc(CO)cc2)cc1)c1ccc(-c2ccc(CO)cc2)cc1
355,0,COC(=O)C(CCl)CCl
356,0,CC1(C)N=C(F)N=C(F)N1c1ccccc1I
357,0,C[C@@H](C(=O)O)[C@](C(=O)O)(c1ccc(F)cc1)c1ccc(F)nc1
